Parque Nacional Natural Tayrona, Santa Marta, Magdalena, 11.2407900, -74.1990400
Playa El Rodadero, Santa Marta, Magdalena, 11.2407900, -74.1990400
Mar de 7 colores, San Andres, Archipiélago de San Andrés - Providencia y Santa Catalina, 12.5847197, -81.7005615
Sierra Nevada de Santa Marta, Santa Marta, Magdalena, 11.2407900,  -74.1990400
Caño Cristales, La Macarena, Meta, 2.264194, -73.794167
Avistamiento de ballenas en Chocó, Nuqui, Choco, 5.7125, -77.27083
Playa El Almejal, Nuqui, Choco, 6.001797222222222, -77.43527777777778
Nuquí, Nuqui, Choco, 5.7095741, -77.2710748
Volcán del Totumo, Santa Catalina, Archipiélago de San Andrés - Providencia y Santa Catalina, 10.7444, -75.2414
Playas de Marbella y la Boquilla, Cartagena, Bolivar, 7.9029800, -73.8328500
Rafting en el Río Fonce, San Gil, Santander, 6.426587, -73.3340328
Parque Nacional Natural Tamá, Toledo Herram, Norte de Santander, 7.2585753, -72.2259905
Represa de Betania, Campoalegre, Huila, 2.6849998, -75.4575096
Mariposario Paway, Mocoa, Putumayo, 1.0875701, -76.6331114
Bocas de ceniza, Barranquilla, Atlantico, 11.0907454, -74.868829
Parque Nacional Natural Gorgona, Isla Gorgona, Cauca, 2.9683331, -78.201954
Parque Chicaque, Bogota, Cundinamarca, 4.6063438, -74.3069424
Parque Regional Ecoturístico Arví, Medellin, Antioquia, 6.2119447, -75.5671781
La Casa en el Aire, La union, Valle del Cauca, 5.845294, -75.4976937
Valle de Cocora, Salento, Quindio, 4.637712, -75.4912587
Salto las Candelas, Pajarito, Boyaca, 5.4233369, -72.7040661
La casa de Terracota, Villa de Leyva, Boyaca, 5.6348681, -73.5390582
Parque Nacional Natural el Cocuy, Guican, Boyaca, 6.5091492, -72.7421862
Parque Natural Los Nevados, Murillo, Tolima, 4.7896956, -75.3785533
Nevado de Huila, Paez, Huila, 2.9241664, -76.0466762
Volcán Chiles, Cumbal, Narinho, 0.8210966, -77.9350619
Isla de Malpelo, Buenaventura, Valle del Cauca, 4.0061109, -81.6111207
El páramo del sol, Urrao, Antioquia, 6.4566662, -76.1400095
Parque Nacional Natural las orquídeas, Frontino, Antioquia, 6.58004, -76.2438787
Nueva Venecia, Sitionuevo, Magdalena, 10.8290224, -74.578666
Capurganá y Sapzurro, Acandi, Choco, 8.6569827, -77.3709584
La cueva de Morgan, San Andres, Archipiélago de San Andrés - Providencia y Santa Catalina, 12.5333333, -81.7166667
Cayo Acuario, San Andres, San Andres y Providencia, 12.5561102, -81.7080656
Puente de los enamorados, Providencia - Santa Catalina, San Andres y Providencia, 13.3828476, -81.372028
Bahía Málaga, Buenaventura, Valle del Cauca, 3.9700213, -77.3287548
San Antero, San Antero, Cordoba, 9.3746419, -75.7706928
Raudal de Maipures, Cumaribo, Vichada, 5.1949897, -67.8513895
Desierto de Tatacoa, Villavieja, Huila, 3.2323974, -75.1775488
Piedra del Peñol, Guatape, Antioquia, 6.2236322, -75.1870878
Volcán de lodo, Arboletes, Antioquia, 8.8608542, -76.4268104
Termales de Santa Rosa, Santa Rosa de Cabal, Risaralda, 4.8376957, -75.5511434
La Roca de las Aves, Suesca, Cundinamarca, 5.1039503, -73.8073867
Lago de Tota, Cuítiva - Tota y Aquitania, Boyaca, 5.5431785, -72.9968205
Parque Nacional Chicamocha, Boyaca, Aracota, 6.7918101, -73.0072938
Isla Múcura, Cartagena, Bolivar, 9.7811105, -75.8897318
Ciudad perdida, Santa Marta, Magdalena, 11.0380024, -73.9273808
